"","fish_identifier","c_sp_fao","sample_label","sample_owner","scientific_name","sp_category","family","tissue","sample_position","c_ocean","sampling_date","lon_dec","lat_dec","EEZ","sex","macro_matury_stage","length_cm","c_length","whole_fishweight_kg","water_content","lipid_content","isoNC_lab","d13C_pm","X_C","d15N_pm","X_N","C_N","isoNC_sample_status","THg_lab","THg_analysis_method","THg_dw_ppb","THg_ww_ppb","THg_sample_status","comment","SST","MLD","Chl.a","NPP","d20","d18","d12","O2_375m","O2_200m","O2_100m","O2_50m","OCRR_375m","OCRR_200m","OCRR_100m","OCRR_50m","OCRR_total","d13Cdic","d13Cpom","d15Nno3","d15Npom","doxycline","dmaxremin","dnethetero","export_100m","export_dnethetero","Hg0_2x2.5","Hg0_6x7.5","drydep_2x2.5","drydep_6x7.5","wetdep_2x2.5","wetdep_6x7.5","totdep_2x2.5","totdep_6x7.5","d13C_cor","sample_year","region","region.col"
"1","100038_108025_","SKJ","PNGTAG_06-01_039","CPS/Allain","Katsuwonus pelamis","fish","Scombridae","white muscle","A","PO","19.10.2006",145.6,-3.8,"PG","F",999,50,"FL",NA,NA,NA,"",-16.78,"43.38",12.54,"13.34",3.25,"bulk","IRD NOUMEA","",194.7,NA,"bulk","",29.36,43.75428571,0.243057143,0.575885714,169.9428571,197.0571429,319.7142857,171.6428571,171.5428571,174.2571429,198.4571429,0.734742857,2.476714286,50.07857143,134.01,166.2371429,2.497,-17.11,9.795428571,5.270714286,82.35857143,56.46714286,76.52714286,77.16857143,56.33142857,1.1,1.11,3.32,2.77,7.76,9.5,11.08,12.27,-16.78,2006,"WPO","seagreen"
"2","100048_108035_","SKJ","PNGTAG_06-01_045","CPS/Allain","Katsuwonus pelamis","fish","Scombridae","white muscle","A","PO","19.10.2006",145.6,-3.8,"PG","M",999,43,"FL",NA,NA,NA,"",-17.1,"44.18",13.05,"12.8",3.45,"bulk","IRD NOUMEA","",131.6,NA,"bulk","",29.36,43.75428571,0.243057143,0.575885714,169.9428571,197.0571429,319.7142857,171.6428571,171.5428571,174.2571429,198.4571429,0.734742857,2.476714286,50.07857143,134.01,166.2371429,2.497,-17.11,9.795428571,5.270714286,82.35857143,56.46714286,76.52714286,77.16857143,56.33142857,1.1,1.11,3.32,2.77,7.76,9.5,11.08,12.27,-17.1,2006,"WPO","seagreen"
"3","100056_108051_","SKJ","PNGTAG_06-01_041","CPS/Allain","Katsuwonus pelamis","fish","Scombridae","white muscle","A","PO","19.10.2006",145.6,-3.8,"PG","F",999,47,"FL",NA,NA,NA,"",-18.3,"46.84",13.01,"12.11",3.87,"bulk","IRD NOUMEA","",90.4,NA,"bulk","HgT value = mean of two analyses",29.36,43.75428571,0.243057143,0.575885714,169.9428571,197.0571429,319.7142857,171.6428571,171.5428571,174.2571429,198.4571429,0.734742857,2.476714286,50.07857143,134.01,166.2371429,2.497,-17.11,9.795428571,5.270714286,82.35857143,56.46714286,76.52714286,77.16857143,56.33142857,1.1,1.11,3.32,2.77,7.76,9.5,11.08,12.27,-16.8041351421189,2006,"WPO","seagreen"
"4","100057_108052_","SKJ","PNGTAG_06-01_044","CPS/Allain","Katsuwonus pelamis","fish","Scombridae","white muscle","A","PO","19.10.2006",145.6,-3.8,"PG","M",999,53,"FL",NA,NA,NA,"",-17.83,"45.15",13.22,"12.14",3.72,"bulk","IRD NOUMEA","",129.2,NA,"bulk","",29.36,43.75428571,0.243057143,0.575885714,169.9428571,197.0571429,319.7142857,171.6428571,171.5428571,174.2571429,198.4571429,0.734742857,2.476714286,50.07857143,134.01,166.2371429,2.497,-17.11,9.795428571,5.270714286,82.35857143,56.46714286,76.52714286,77.16857143,56.33142857,1.1,1.11,3.32,2.77,7.76,9.5,11.08,12.27,-16.5757938172043,2006,"WPO","seagreen"
"5","100061_108056_3904","YFT","CFF_05-01_1_A_3904","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","A","PO","21.04.2005",167,-21.2,"NC","unknown",999,99,"FL",NA,NA,NA,"",-16.5,"44",9,"13.6",3.2,"bulk","GET","DMA/AMA",318,NA,"bulk","",26.93,19.17714286,0.11276,0.173385714,183.9,254.3714286,461.4571429,198.4285714,200.2714286,218.5571429,213.0142857,1.142885714,4.608571429,54.80857143,7.249428571,56.81428571,2.405857143,-18.68428571,8.644142857,3.59,107.5571429,88.17571429,115.1285714,31.00857143,13.84714286,0.89,0.89,1.13,4.41,8.12,7.36,9.25,11.77,-16.5,2005,"WPO","seagreen"
"6","100062_108057_3905","YFT","CFF_05-01_2_A_108057","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","A","PO","21.04.2005",167,-21.2,"NC","unknown",999,116,"FL",NA,NA,NA,"",-17.4,"46",9.5,"12",3.8,"bulk","GET","DMA/AMA",280,NA,"bulk","",26.93,19.17714286,0.11276,0.173385714,183.9,254.3714286,461.4571429,198.4285714,200.2714286,218.5571429,213.0142857,1.142885714,4.608571429,54.80857143,7.249428571,56.81428571,2.405857143,-18.68428571,8.644142857,3.59,107.5571429,88.17571429,115.1285714,31.00857143,13.84714286,0.89,0.89,1.13,4.41,8.12,7.36,9.25,11.77,-16.014535,2005,"WPO","seagreen"
"7","100065_108060_3908","YFT","CFF_05-01_5_U_108060","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","unknown","PO","21.04.2005",167.3,-21.4,"NC","unknown",999,107,"FL",NA,NA,NA,"",-17.2,"46",9.3,"12.7",3.6,"bulk","GET","DMA/AMA",364,NA,"bulk","",26.19714286,29.37142857,0.102741429,0.166628571,188,255.9428571,460.3142857,199.1,201.0428571,219.6,211.7,1.130742857,4.804857143,55.55714286,6.257,56.00142857,2.398714286,-18.79857143,8.381571429,3.442142857,112.2285714,92.56428571,118.0428571,26.92714286,13.13557143,0.89,0.89,1.13,4.41,8.12,7.36,9.25,11.77,-16.1536202777778,2005,"WPO","seagreen"
"8","100066_108061_3909","YFT","CFF_05-01_6_U_108061","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","unknown","PO","21.04.2005",167.3,-21.4,"NC","unknown",999,110,"FL",NA,NA,NA,"",-17,"45",9.1,"12.9",3.5,"bulk","GET","DMA/AMA",272,NA,"bulk","",26.19714286,29.37142857,0.102741429,0.166628571,188,255.9428571,460.3142857,199.1,201.0428571,219.6,211.7,1.130742857,4.804857143,55.55714286,6.257,56.00142857,2.398714286,-18.79857143,8.381571429,3.442142857,112.2285714,92.56428571,118.0428571,26.92714286,13.13557143,0.89,0.89,1.13,4.41,8.12,7.36,9.25,11.77,-17,2005,"WPO","seagreen"
"9","100069_108064_3912","YFT","CFF_05-01_9_A_3912","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","A","PO","23.04.2005",167.7,-20.8,"NC","unknown",999,100,"FL",NA,NA,NA,"",-16.1,"45",13.6,"13.9",3.2,"bulk","GET","DMA/AMA",599,NA,"bulk","",27.07857143,26.55714286,0.081458571,0.154242857,209.1285714,265.3285714,441.4142857,195.1142857,195.7285714,217.5571429,208.7857143,1.013285714,4.465571429,53.06714286,5.353857143,53.37428571,2.438857143,-18.94857143,8.769142857,3.670714286,116.9,98.49285714,123.4,19.59857143,11.86428571,0.91,0.91,7.17,4.96,7.39,7.42,14.56,12.38,-16.1,2005,"WPO","seagreen"
"10","100070_108065_3913","YFT","CFF_05-01_10_U_108065","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","unknown","PO","24.04.2005",167.1,-20.5,"NC","unknown",999,114,"FL",NA,NA,NA,"",-17.7,"47",8.7,"12.2",3.9,"bulk","GET","DMA/AMA",279,NA,"bulk","",27.07857143,26.55714286,0.081458571,0.154242857,209.1285714,265.3285714,441.4142857,195.1142857,195.7285714,217.5571429,208.7857143,1.013285714,4.465571429,53.06714286,5.353857143,53.37428571,2.438857143,-18.94857143,8.769142857,3.670714286,116.9,98.49285714,123.4,19.59857143,11.86428571,0.91,0.91,7.17,4.96,7.39,7.42,14.56,12.38,-16.1580341025641,2005,"WPO","seagreen"
"11","100071_108066_3914","YFT","CFF_05-01_11_U_108066","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","unknown","PO","24.04.2005",167.1,-20.5,"NC","unknown",999,115,"FL",NA,NA,NA,"",-16.8,"45",8.5,"13.5",3.4,"bulk","GET","DMA/AMA",272,NA,"bulk","",27.07857143,26.55714286,0.081458571,0.154242857,209.1285714,265.3285714,441.4142857,195.1142857,195.7285714,217.5571429,208.7857143,1.013285714,4.465571429,53.06714286,5.353857143,53.37428571,2.438857143,-18.94857143,8.769142857,3.670714286,116.9,98.49285714,123.4,19.59857143,11.86428571,0.91,0.91,7.17,4.96,7.39,7.42,14.56,12.38,-16.8,2005,"WPO","seagreen"
