fish_identifier,SST,MLD,Chl.a,NPP,d20,d18,d12,O2_375m,O2_200m,O2_100m,O2_50m,OCRR_375m,OCRR_200m,OCRR_100m,OCRR_50m,OCRR_total,d13Cdic,d13Cpom,d15Nno3,d15Npom,doxycline,dmaxremin,dnethetero,export_100m,export_dnethetero,Hg0_2x2.5,Hg0_6x7.5,drydep_2x2.5,drydep_6x7.5,wetdep_2x2.5,wetdep_6x7.5,totdep_2x2.5,totdep_6x7.5,d13C_cor,sample_year,region,region.col
100038_108025_,29.36,43.75428571,0.243057143,0.575885714,169.9428571,197.0571429,319.7142857,171.6428571,171.5428571,174.2571429,198.4571429,0.734742857,2.476714286,50.07857143,134.01,166.2371429,2497,-17.11,9.795428571,5.270714286,82.35857143,56.46714286,76.52714286,77.16857143,56.33142857,1.1,1.11,3.32,2.77,7.76,9.5,11.08,12.27,-16.78,2006,WPO,seagreen
100048_108035_,29.36,43.75428571,0.243057143,0.575885714,169.9428571,197.0571429,319.7142857,171.6428571,171.5428571,174.2571429,198.4571429,0.734742857,2.476714286,50.07857143,134.01,166.2371429,2497,-17.11,9.795428571,5.270714286,82.35857143,56.46714286,76.52714286,77.16857143,56.33142857,1.1,1.11,3.32,2.77,7.76,9.5,11.08,12.27,-17.1,2006,WPO,seagreen
100056_108051_,29.36,43.75428571,0.243057143,0.575885714,169.9428571,197.0571429,319.7142857,171.6428571,171.5428571,174.2571429,198.4571429,0.734742857,2.476714286,50.07857143,134.01,166.2371429,2497,-17.11,9.795428571,5.270714286,82.35857143,56.46714286,76.52714286,77.16857143,56.33142857,1.1,1.11,3.32,2.77,7.76,9.5,11.08,12.27,-16.8041351421189,2006,WPO,seagreen
100057_108052_,29.36,43.75428571,0.243057143,0.575885714,169.9428571,197.0571429,319.7142857,171.6428571,171.5428571,174.2571429,198.4571429,0.734742857,2.476714286,50.07857143,134.01,166.2371429,2497,-17.11,9.795428571,5.270714286,82.35857143,56.46714286,76.52714286,77.16857143,56.33142857,1.1,1.11,3.32,2.77,7.76,9.5,11.08,12.27,-16.5757938172043,2006,WPO,seagreen
100061_108056_3904,26.93,19.17714286,0.11276,0.173385714,183.9,254.3714286,461.4571429,198.4285714,200.2714286,218.5571429,213.0142857,1.142885714,4.608571429,54.80857143,7.249428571,56.81428571,2.405857143,-18.68428571,8.644142857,3.59,107.5571429,88.17571429,115.1285714,31.00857143,13.84714286,0.89,0.89,1.13,4.41,8.12,7.36,9.25,11.77,-16.5,2005,WPO,seagreen
100062_108057_3905,26.93,19.17714286,0.11276,0.173385714,183.9,254.3714286,461.4571429,198.4285714,200.2714286,218.5571429,213.0142857,1.142885714,4.608571429,54.80857143,7.249428571,56.81428571,2.405857143,-18.68428571,8.644142857,3.59,107.5571429,88.17571429,115.1285714,31.00857143,13.84714286,0.89,0.89,1.13,4.41,8.12,7.36,9.25,11.77,-16.014535,2005,WPO,seagreen
100065_108060_3908,26.19714286,29.37142857,0.102741429,0.166628571,188,255.9428571,460.3142857,199.1,201.0428571,219.6,211.7,1.130742857,4.804857143,55.55714286,6257,56.00142857,2.398714286,-18.79857143,8.381571429,3.442142857,112.2285714,92.56428571,118.0428571,26.92714286,13.13557143,0.89,0.89,1.13,4.41,8.12,7.36,9.25,11.77,-16.1536202777778,2005,WPO,seagreen
100066_108061_3909,26.19714286,29.37142857,0.102741429,0.166628571,188,255.9428571,460.3142857,199.1,201.0428571,219.6,211.7,1.130742857,4.804857143,55.55714286,6257,56.00142857,2.398714286,-18.79857143,8.381571429,3.442142857,112.2285714,92.56428571,118.0428571,26.92714286,13.13557143,0.89,0.89,1.13,4.41,8.12,7.36,9.25,11.77,-17,2005,WPO,seagreen
100069_108064_3912,27.07857143,26.55714286,0.081458571,0.154242857,209.1285714,265.3285714,441.4142857,195.1142857,195.7285714,217.5571429,208.7857143,1.013285714,4.465571429,53.06714286,5.353857143,53.37428571,2.438857143,-18.94857143,8.769142857,3.670714286,116.9,98.49285714,123.4,19.59857143,11.86428571,0.91,0.91,7.17,4.96,7.39,7.42,14.56,12.38,-16.1,2005,WPO,seagreen
100070_108065_3913,27.07857143,26.55714286,0.081458571,0.154242857,209.1285714,265.3285714,441.4142857,195.1142857,195.7285714,217.5571429,208.7857143,1.013285714,4.465571429,53.06714286,5.353857143,53.37428571,2.438857143,-18.94857143,8.769142857,3.670714286,116.9,98.49285714,123.4,19.59857143,11.86428571,0.91,0.91,7.17,4.96,7.39,7.42,14.56,12.38,-16.1580341025641,2005,WPO,seagreen
100071_108066_3914,27.07857143,26.55714286,0.081458571,0.154242857,209.1285714,265.3285714,441.4142857,195.1142857,195.7285714,217.5571429,208.7857143,1.013285714,4.465571429,53.06714286,5.353857143,53.37428571,2.438857143,-18.94857143,8.769142857,3.670714286,116.9,98.49285714,123.4,19.59857143,11.86428571,0.91,0.91,7.17,4.96,7.39,7.42,14.56,12.38,-16.8,2005,WPO,seagreen
